trial,Pos.,Neu.,Neg.,Summary
Men T1,0.0,1.0,0.0,0.0
Men T2,0.0,0.833,0.167,-0.34
Men T3,0.15,0.657,0.193,-0.2323
Men T4,0.0,1.0,0.0,0.0
Men T5,0.0,1.0,0.0,0.0
Men T6,0.0,1.0,0.0,0.0
Men T7,0.149,0.758,0.093,0.3419
Men T8,0.0,1.0,0.0,0.0
Men T9,0.0,0.855,0.145,-0.296
Men T10,0.0,1.0,0.0,0.0
Men T11,0.412,0.588,0.0,0.6369
Men T12,0.175,0.313,0.512,-0.8191
Men T13,0.0,0.417,0.583,-0.4215
Men T14,0.284,0.647,0.068,0.7184
Men T15,0.0,1.0,0.0,0.0
Men T16,0.0,1.0,0.0,0.0
Men T17,0.0,1.0,0.0,0.0
Men T18,0.0,1.0,0.0,0.0
Men T19,0.145,0.797,0.058,0.5267
Men T20,0.336,0.458,0.206,0.3687
Men T21,0.0,0.704,0.296,-0.7906
Men T22,0.0,1.0,0.0,0.0
Men T23,0.134,0.866,0.0,0.4767
Men T24,0.0,1.0,0.0,0.0
Men T25,0.194,0.806,0.0,0.34
Men T26,0.0,0.314,0.686,-0.9623
Men T27,0.0,0.68,0.32,-0.3291
Men T28,0.0,1.0,0.0,0.0
Men T29,0.0,1.0,0.0,0.0
Men T30,0.0,1.0,0.0,0.0
Men T31,0.0,0.825,0.175,-0.2942
Men T32,0.116,0.655,0.229,-0.1835
Men T33,0.0,1.0,0.0,0.0
Men T34,0.259,0.544,0.197,0.2263
Men T35,0.0,1.0,0.0,0.0
Men T36,0.0,0.547,0.453,-0.9201
Men T37,0.0,1.0,0.0,0.0
Men T38,0.0,0.588,0.412,-0.5423
Men T39,0.0,0.874,0.126,-0.0772
Men T40,0.0,0.898,0.102,-0.2617
Men T41,0.42,0.58,0.0,0.4404
Men T42,0.0,0.574,0.426,-0.7514
Men T43,0.0,1.0,0.0,0.0
Men T44,0.28,0.72,0.0,0.8122
Men T45,0.0,1.0,0.0,0.0
Men T46,0.178,0.822,0.0,0.3818
Men T47,0.256,0.5,0.244,-0.2023
Men T48,0.0,0.929,0.071,-0.1531
Men T49,0.0,1.0,0.0,0.0
Men T50,0.0,1.0,0.0,0.0
Men T51,0.51,0.49,0.0,0.9495
Men T52,0.0,1.0,0.0,0.0
Men T53,0.439,0.335,0.226,0.4901
Men T54,0.084,0.916,0.0,0.1901
Men T55,0.0,1.0,0.0,0.0
Men T56,0.0,1.0,0.0,0.0
Men T57,0.076,0.812,0.112,-0.1779
Men T58,0.0,1.0,0.0,0.0
Men T59,0.0,1.0,0.0,0.0
Men T60,0.213,0.787,0.0,0.6597
Men T61,0.588,0.412,0.0,0.9617
Men T62,0.194,0.711,0.095,0.4767
Men T63,0.156,0.625,0.219,-0.2023
Men T64,0.105,0.773,0.123,-0.1027
Men T65,0.428,0.572,0.0,0.905
Men T66,0.0,0.617,0.383,-0.4767
Men T67,0.0,0.546,0.454,-0.8519
Men T68,0.118,0.882,0.0,0.34
Men T69,0.0,0.764,0.236,-0.5267
Men T70,0.239,0.679,0.082,0.6597
Men T71,0.0,0.706,0.294,-0.836
Men T72,0.212,0.54,0.249,0.0276
Men T73,0.0,1.0,0.0,0.0
Men T74,0.0,1.0,0.0,0.0
Men T75,0.0,1.0,0.0,0.0
Men T76,0.0,1.0,0.0,0.0
Men T77,0.0,1.0,0.0,0.0
Men T78,0.0,1.0,0.0,0.0
Men T79,0.179,0.643,0.179,0.0
Men T80,0.0,0.812,0.188,-0.5267
Men T81,0.071,0.929,0.0,0.2263
Men T82,0.0,1.0,0.0,0.0
Men T83,0.661,0.339,0.0,0.5994
Men T84,0.0,0.806,0.194,-0.34
Men T85,0.249,0.678,0.073,0.5672
Men T86,0.0,0.678,0.322,-0.5859
Men T87,0.0,0.803,0.197,-0.4019
Men T88,0.0,0.847,0.153,-0.4019
Men T89,0.0,0.877,0.123,-0.4215
Men T90,0.083,0.743,0.174,-0.4754
Men T91,0.0,0.766,0.234,-0.6369
Men T92,0.0,0.698,0.302,-0.7227
Men T93,0.0,0.745,0.255,-0.5859
Men T94,0.0,1.0,0.0,0.0
Men T95,0.0,0.374,0.626,-0.7717
Men T96,0.329,0.533,0.138,0.6486
Men T97,0.531,0.417,0.051,0.9428
Men T98,0.0,1.0,0.0,0.0
Men T99,0.64,0.36,0.0,0.7978
Men T100,0.5,0.5,0.0,0.7906
Men T101,0.0,1.0,0.0,0.0
Men T102,0.05,0.95,0.0,0.0258
Men T103,0.0,1.0,0.0,0.0
Men T104,0.524,0.476,0.0,0.5106
Men T105,0.257,0.586,0.158,0.296
Men T106,0.0,0.686,0.314,-0.4939
Men T107,0.25,0.369,0.381,-0.2656
Men T108,0.0,0.602,0.398,-0.8979
Men T109,0.0,1.0,0.0,0.0
Men T110,0.217,0.783,0.0,0.7495
Men T111,0.626,0.374,0.0,0.8419
Men T112,0.259,0.741,0.0,0.6369
Men T113,0.334,0.666,0.0,0.8187
Men T114,0.153,0.847,0.0,0.4404
Men T115,0.105,0.591,0.304,-0.6908
Men T116,0.0,1.0,0.0,0.0
Men T117,0.13,0.87,0.0,0.2732
Men T118,0.0,1.0,0.0,0.0
Men T119,0.0,1.0,0.0,0.0
Men T120,0.13,0.87,0.0,0.431
Men T121,0.0,0.7,0.3,-0.6111
Men T122,0.196,0.567,0.237,0.0516
Men T123,0.217,0.656,0.127,0.296
Men T124,0.2,0.8,0.0,0.3612
Men T125,0.174,0.826,0.0,0.6369
Men T126,0.388,0.612,0.0,0.7152
Men T127,0.0,1.0,0.0,0.0
Men T128,0.0,1.0,0.0,0.0
Men T129,0.101,0.899,0.0,0.2263
Men T130,0.146,0.854,0.0,0.4404
Men T131,0.0,1.0,0.0,0.0
Men T132,0.078,0.741,0.181,-0.3612
Men T133,0.0,1.0,0.0,0.0
Men T134,0.238,0.635,0.127,0.3885
Men T135,0.237,0.763,0.0,0.357
Men T136,0.145,0.694,0.162,-0.0772
Men T137,0.0,1.0,0.0,0.0
Men T138,0.281,0.562,0.157,0.2732
Men T139,0.0,0.734,0.266,-0.8225
Men T140,0.0,1.0,0.0,0.0
Men T141,0.202,0.798,0.0,0.5859
Men T142,0.0,1.0,0.0,0.0
Men T143,0.0,1.0,0.0,0.0
Men T144,0.099,0.901,0.0,0.3182
Men T145,0.0,1.0,0.0,0.0
Men T146,0.208,0.477,0.315,-0.4814
Men T147,0.0,1.0,0.0,0.0
Men T148,0.316,0.684,0.0,0.7184
Men T149,0.0,1.0,0.0,0.0
Men T0,0.078,0.823,0.099,-0.1326
men T1,0.0,1.0,0.0,0.0
men T2,0.0,0.833,0.167,-0.34
men T3,0.15,0.657,0.193,-0.2323
men T4,0.0,1.0,0.0,0.0
men T5,0.0,1.0,0.0,0.0
men T6,0.0,1.0,0.0,0.0
men T7,0.149,0.758,0.093,0.3419
men T8,0.0,1.0,0.0,0.0
men T9,0.0,0.855,0.145,-0.296
men T10,0.0,1.0,0.0,0.0
men T11,0.412,0.588,0.0,0.6369
men T12,0.175,0.313,0.512,-0.8191
men T13,0.0,0.417,0.583,-0.4215
men T14,0.284,0.647,0.068,0.7184
men T15,0.0,1.0,0.0,0.0
men T16,0.0,1.0,0.0,0.0
men T17,0.0,1.0,0.0,0.0
men T18,0.0,1.0,0.0,0.0
men T19,0.145,0.797,0.058,0.5267
men T20,0.336,0.458,0.206,0.3687
men T21,0.0,0.704,0.296,-0.7906
men T22,0.0,1.0,0.0,0.0
men T23,0.134,0.866,0.0,0.4767
men T24,0.0,1.0,0.0,0.0
men T25,0.194,0.806,0.0,0.34
men T26,0.0,0.314,0.686,-0.9623
men T27,0.0,0.68,0.32,-0.3291
men T28,0.0,1.0,0.0,0.0
men T29,0.0,1.0,0.0,0.0
men T30,0.0,1.0,0.0,0.0
men T31,0.0,0.825,0.175,-0.2942
men T32,0.116,0.655,0.229,-0.1835
men T33,0.0,1.0,0.0,0.0
men T34,0.259,0.544,0.197,0.2263
men T35,0.0,1.0,0.0,0.0
men T36,0.0,0.547,0.453,-0.9201
men T37,0.0,1.0,0.0,0.0
men T38,0.0,0.588,0.412,-0.5423
men T39,0.0,0.874,0.126,-0.0772
men T40,0.0,0.898,0.102,-0.2617
men T41,0.42,0.58,0.0,0.4404
men T42,0.0,0.574,0.426,-0.7514
men T43,0.0,1.0,0.0,0.0
men T44,0.28,0.72,0.0,0.8122
men T45,0.0,1.0,0.0,0.0
men T46,0.178,0.822,0.0,0.3818
men T47,0.256,0.5,0.244,-0.2023
men T48,0.0,0.929,0.071,-0.1531
men T49,0.0,1.0,0.0,0.0
men T50,0.0,1.0,0.0,0.0
men T51,0.51,0.49,0.0,0.9495
men T52,0.0,1.0,0.0,0.0
men T53,0.439,0.335,0.226,0.4901
men T54,0.084,0.916,0.0,0.1901
men T55,0.0,1.0,0.0,0.0
men T56,0.0,1.0,0.0,0.0
men T57,0.076,0.812,0.112,-0.1779
men T58,0.0,1.0,0.0,0.0
men T59,0.0,1.0,0.0,0.0
men T60,0.213,0.787,0.0,0.6597
men T61,0.588,0.412,0.0,0.9617
men T62,0.194,0.711,0.095,0.4767
men T63,0.156,0.625,0.219,-0.2023
men T64,0.105,0.773,0.123,-0.1027
men T65,0.428,0.572,0.0,0.905
men T66,0.0,0.617,0.383,-0.4767
men T67,0.0,0.546,0.454,-0.8519
men T68,0.118,0.882,0.0,0.34
men T69,0.0,0.764,0.236,-0.5267
men T70,0.239,0.679,0.082,0.6597
men T71,0.0,0.706,0.294,-0.836
men T72,0.212,0.54,0.249,0.0276
men T73,0.0,1.0,0.0,0.0
men T74,0.0,1.0,0.0,0.0
men T75,0.0,1.0,0.0,0.0
men T76,0.0,1.0,0.0,0.0
men T77,0.0,1.0,0.0,0.0
men T78,0.0,1.0,0.0,0.0
men T79,0.179,0.643,0.179,0.0
men T80,0.0,0.812,0.188,-0.5267
men T81,0.071,0.929,0.0,0.2263
men T82,0.0,1.0,0.0,0.0
men T83,0.661,0.339,0.0,0.5994
men T84,0.0,0.806,0.194,-0.34
men T85,0.249,0.678,0.073,0.5672
men T86,0.0,0.678,0.322,-0.5859
men T87,0.0,0.803,0.197,-0.4019
men T88,0.0,0.847,0.153,-0.4019
men T89,0.0,0.877,0.123,-0.4215
men T90,0.083,0.743,0.174,-0.4754
men T91,0.0,0.766,0.234,-0.6369
men T92,0.0,0.698,0.302,-0.7227
men T93,0.0,0.745,0.255,-0.5859
men T94,0.0,1.0,0.0,0.0
men T95,0.0,0.374,0.626,-0.7717
men T96,0.329,0.533,0.138,0.6486
men T97,0.531,0.417,0.051,0.9428
men T98,0.0,1.0,0.0,0.0
men T99,0.64,0.36,0.0,0.7978
men T100,0.5,0.5,0.0,0.7906
men T101,0.0,1.0,0.0,0.0
men T102,0.05,0.95,0.0,0.0258
men T103,0.0,1.0,0.0,0.0
men T104,0.524,0.476,0.0,0.5106
men T105,0.257,0.586,0.158,0.296
men T106,0.0,0.686,0.314,-0.4939
men T107,0.25,0.369,0.381,-0.2656
men T108,0.0,0.602,0.398,-0.8979
men T109,0.0,1.0,0.0,0.0
men T110,0.217,0.783,0.0,0.7495
men T111,0.626,0.374,0.0,0.8419
men T112,0.259,0.741,0.0,0.6369
men T113,0.334,0.666,0.0,0.8187
men T114,0.153,0.847,0.0,0.4404
men T115,0.105,0.591,0.304,-0.6908
men T116,0.0,1.0,0.0,0.0
men T117,0.13,0.87,0.0,0.2732
men T118,0.0,1.0,0.0,0.0
men T119,0.0,1.0,0.0,0.0
men T120,0.13,0.87,0.0,0.431
men T121,0.0,0.7,0.3,-0.6111
men T122,0.196,0.567,0.237,0.0516
men T123,0.217,0.656,0.127,0.296
men T124,0.2,0.8,0.0,0.3612
men T125,0.174,0.826,0.0,0.6369
men T126,0.388,0.612,0.0,0.7152
men T127,0.0,1.0,0.0,0.0
men T128,0.0,1.0,0.0,0.0
men T129,0.101,0.899,0.0,0.2263
men T130,0.146,0.854,0.0,0.4404
men T131,0.0,1.0,0.0,0.0
men T132,0.078,0.741,0.181,-0.3612
men T133,0.0,1.0,0.0,0.0
men T134,0.238,0.635,0.127,0.3885
men T135,0.237,0.763,0.0,0.357
men T136,0.145,0.694,0.162,-0.0772
men T137,0.0,1.0,0.0,0.0
men T138,0.281,0.562,0.157,0.2732
men T139,0.0,0.734,0.266,-0.8225
men T140,0.0,1.0,0.0,0.0
men T141,0.202,0.798,0.0,0.5859
men T142,0.0,1.0,0.0,0.0
men T143,0.0,1.0,0.0,0.0
men T144,0.099,0.901,0.0,0.3182
men T145,0.0,1.0,0.0,0.0
men T146,0.208,0.477,0.315,-0.4814
men T147,0.0,1.0,0.0,0.0
men T148,0.316,0.684,0.0,0.7184
men T149,0.0,1.0,0.0,0.0
men T0,0.078,0.823,0.099,-0.1326
Boys T1,0.366,0.634,0.0,0.4374
Boys T2,0.0,0.784,0.216,-0.296
Boys T3,0.0,1.0,0.0,0.0
Boys T4,0.219,0.781,0.0,0.4215
Boys T5,0.0,1.0,0.0,0.0
Boys T6,0.479,0.521,0.0,0.93
Boys T7,0.0,1.0,0.0,0.0
Boys T8,0.0,1.0,0.0,0.0
Boys T9,0.0,1.0,0.0,0.0
Boys T10,0.0,1.0,0.0,0.0
Boys T11,0.0,1.0,0.0,0.0
Boys T12,0.0,0.851,0.149,-0.2023
Boys T13,0.0,1.0,0.0,0.0
Boys T14,0.451,0.549,0.0,0.4767
Boys T15,0.0,1.0,0.0,0.0
Boys T16,0.0,1.0,0.0,0.0
Boys T17,0.0,0.746,0.254,-0.5267
Boys T18,0.0,1.0,0.0,0.0
Boys T19,0.0,1.0,0.0,0.0
Boys T20,0.239,0.761,0.0,0.296
Boys T21,0.0,1.0,0.0,0.0
Boys T22,0.354,0.646,0.0,0.8294
Boys T23,0.0,0.776,0.224,-0.5994
Boys T24,0.0,0.504,0.496,-0.7845
Boys T25,0.045,0.696,0.259,-0.7983
Boys T26,0.0,1.0,0.0,0.0
Boys T27,0.0,1.0,0.0,0.0
Boys T28,0.167,0.6,0.233,-0.25
Boys T29,0.0,0.818,0.182,-0.4391
Boys T30,0.344,0.656,0.0,0.2732
Boys T31,0.127,0.812,0.061,0.3182
Boys T32,0.188,0.677,0.135,0.1027
Boys T33,0.0,1.0,0.0,0.0
Boys T34,0.0,1.0,0.0,0.0
Boys T35,0.0,1.0,0.0,0.0
Boys T36,0.0,0.638,0.362,-0.5267
Boys T37,0.36,0.64,0.0,0.8151
Boys T38,0.25,0.585,0.165,0.1531
Boys T39,0.0,1.0,0.0,0.0
Boys T40,0.0,0.566,0.434,-0.3182
Boys T41,0.0,0.847,0.153,-0.4019
Boys T42,0.0,1.0,0.0,0.0
Boys T43,0.406,0.594,0.0,0.6249
Boys T44,0.0,1.0,0.0,0.0
Boys T45,0.183,0.817,0.0,0.4005
Boys T46,0.0,1.0,0.0,0.0
Boys T47,0.143,0.857,0.0,0.3612
Boys T48,0.301,0.645,0.054,0.785
Boys T49,0.082,0.823,0.095,-0.0772
Boys T50,0.0,0.698,0.302,-0.6369
Boys T51,0.0,0.725,0.275,-0.6486
Boys T52,0.0,0.89,0.11,-0.3818
Boys T53,0.284,0.544,0.172,0.5719
Boys T54,0.0,0.746,0.254,-0.1779
Boys T55,0.0,1.0,0.0,0.0
Boys T56,0.0,0.855,0.145,-0.296
Boys T57,0.36,0.64,0.0,0.6696
Boys T58,0.162,0.838,0.0,0.4019
Boys T59,0.0,0.886,0.114,-0.2023
Boys T60,0.213,0.787,0.0,0.3632
Boys T61,0.0,0.696,0.304,-0.5423
Boys T62,0.0,1.0,0.0,0.0
Boys T63,0.075,0.439,0.486,-0.9023
Boys T64,0.0,1.0,0.0,0.0
Boys T65,0.0,1.0,0.0,0.0
Boys T66,0.213,0.787,0.0,0.2263
Boys T67,0.512,0.488,0.0,0.6369
Boys T68,0.146,0.702,0.152,-0.0258
Boys T69,0.0,0.754,0.246,-0.6408
Boys T70,0.0,1.0,0.0,0.0
Boys T71,0.11,0.89,0.0,0.2732
Boys T72,0.292,0.708,0.0,0.5106
Boys T73,0.23,0.77,0.0,0.6697
Boys T74,0.178,0.822,0.0,0.5707
Boys T75,0.286,0.714,0.0,0.5574
Boys T76,0.163,0.837,0.0,0.5719
Boys T77,0.167,0.833,0.0,0.5859
Boys T78,0.524,0.476,0.0,0.5106
Boys T79,0.161,0.839,0.0,0.3612
Boys T80,0.178,0.593,0.229,-0.1531
Boys T81,0.356,0.342,0.301,-0.0516
Boys T82,0.0,1.0,0.0,0.0
Boys T83,0.167,0.677,0.155,0.0772
Boys T84,0.0,0.627,0.373,-0.8834
Boys T85,0.146,0.757,0.097,-0.1037
Boys T86,0.385,0.615,0.0,0.3612
Boys T87,0.208,0.5,0.292,-0.25
Boys T88,0.128,0.872,0.0,0.3595
Boys T89,0.145,0.723,0.132,0.0772
Boys T90,0.179,0.694,0.127,0.2263
Boys T91,0.0,1.0,0.0,0.0
Boys T92,0.0,1.0,0.0,0.0
Boys T93,0.0,1.0,0.0,0.0
Boys T94,0.316,0.684,0.0,0.5719
Boys T95,0.18,0.82,0.0,0.296
Boys T96,0.0,1.0,0.0,0.0
Boys T97,0.161,0.737,0.102,0.1779
Boys T98,0.545,0.455,0.0,0.7171
Boys T99,0.236,0.764,0.0,0.7579
Boys T100,0.0,0.787,0.213,-0.5574
Boys T101,0.0,1.0,0.0,0.0
Boys T102,0.075,0.75,0.175,-0.3384
